Time,ISP_IN_MB,LAN_OUT_MB,ISP_uptime,Delta_ISP_IN_MB,Delta_LAN_OUT_MB,Delta_Time_hr
2025-10-05 13:11:00,3118.84,0.0,,,,
2025-10-06 10:27:00,3763.39,0.0,,644.55,0.0,21.27
2025-10-06 11:50:14,3783.47,0.0,,20.08,0.0,1.39
2025-10-06 17:09:56,3819.19,0.0,,35.72,0.0,5.33
2025-10-06 17:40:04,3840.88,953.76,,21.69,953.76,0.5
2025-10-06 21:11:07,4075.29,3938.8,,234.41,2985.04,3.52
2025-10-07 06:46:50,172.33,1141.27,,193.04,1298.47,9.6
2025-10-08 06:48:59,815.99,3844.46,,643.66,2703.19,24.04
2025-10-08 20:42:03,1190.74,3810.8,,374.75,4062.34,13.88
2025-10-09 06:49:39,1607.51,1736.97,,416.77,2022.17,10.13
2025-10-09 12:40:37,1767.57,1955.5,,160.06,218.53,5.85
2025-10-09 22:16:51,2229.73,2630.16,,462.16,674.66,9.6
2025-10-10 06:59:23,2388.89,3142.67,,159.16,512.51,8.71
2025-10-10 09:40:43,2443.36,3327.12,,54.47,184.45,2.69
2025-10-11 08:27:09,2892.56,1935.39,,449.2,2704.27,22.77
2025-10-11 16:53:27,3416.62,202.5,,524.06,2363.11,8.44
2025-10-11 19:57:22,3531.78,2599.62,243.86,115.16,2397.12,3.07
2025-10-11 20:01:44,3537.03,2664.72,243.94,5.25,65.1,0.07
2025-10-11 22:37:58,3663.28,2016.99,246.54,126.25,3448.27,2.6
2025-10-11 23:12:46,3674.97,97.97,247.12,11.69,2176.98,0.58
2025-10-12 08:58:32,3839.39,252.98,256.88,164.42,155.01,9.76
2025-10-12 11:55:02,4077.46,506.57,259.82,238.07,253.59,2.94
2025-10-12 19:52:08,257.75,796.75,267.78,276.29,290.18,7.95
2025-10-13 07:04:13,523.53,1069.07,278.98,265.78,272.32,11.2
2025-10-13 11:53:04,872.84,1440.0,283.79,349.31,370.93,4.81
2025-10-13 18:02:01,1168.9,1754.42,289.94,296.06,314.42,6.15
2025-10-13 21:44:07,1304.25,1895.15,293.64,135.35,140.73,3.7
2025-10-14 06:54:53,1469.53,2068.38,302.82,165.28,173.23,9.18
2025-10-14 12:03:36,1691.75,2306.88,307.97,222.22,238.5,5.15
2025-10-14 16:24:43,1909.8,2534.68,312.32,218.05,227.8,4.35
2025-10-14 21:51:37,2202.44,2846.78,317.77,292.64,312.1,5.45
2025-10-15 08:31:47,2740.41,3406.9,328.44,537.97,560.12,10.67
2025-10-15 16:26:58,3139.77,3831.54,336.36,399.36,424.64,7.92
2025-10-16 06:43:55,3796.89,429.02,350.64,657.12,693.48,14.28
2025-10-16 17:34:29,122.48,889.22,361.48,421.59,460.2,10.84
2025-10-17 07:12:01,627.25,1430.58,375.11,504.77,541.36,13.63
2025-10-17 21:10:50,1195.68,2021.33,389.09,568.43,590.75,13.98
2025-10-18 10:04:51,1502.56,2349.77,401.99,306.88,328.44,12.9
2025-10-19 07:41:05,2296.11,3191.87,423.59,793.55,842.1,21.6
2025-10-19 15:29:40,2543.34,3450.84,431.4,247.23,258.97,7.81
2025-10-19 22:03:32,2661.97,3576.72,437.96,118.63,125.88,6.56
2025-10-20 06:44:37,2781.06,3703.04,446.65,119.09,126.32,8.68
2025-10-20 14:50:24,78.6,883.44,2.74,7.53,112.46,0.19
2025-10-20 17:50:57,225.0,2416.52,5.75,146.39,1533.08,3.01
2025-10-20 21:28:31,526.94,62.07,9.37,312.28,3927.62,3.63
2025-10-20 21:45:50,534.58,560.23,9.66,7.65,498.15,0.29
2025-10-21 06:52:33,658.38,692.03,18.77,123.79,131.8,9.11
2025-10-21 15:40:28,729.94,772.27,27.57,71.57,80.24,8.8
2025-10-21 21:36:15,1006.85,1060.0,33.5,276.91,287.73,5.93
2025-10-22 06:53:49,1146.01,1208.74,42.79,139.15,148.74,9.29
2025-10-22 21:31:49,1584.35,1668.28,57.43,438.34,459.55,14.63
2025-10-23 06:59:24,1766.04,1855.57,66.89,181.69,187.29,9.46
2025-10-23 10:17:53,1868.49,1961.2,70.19,102.45,105.62,3.31
2025-10-23 15:55:35,1958.36,2056.77,75.82,89.87,95.58,5.63
2025-10-23 22:29:14,2192.92,2309.25,82.38,234.56,252.47,6.56
2025-10-24 06:52:21,2431.96,2560.97,90.77,239.04,251.72,8.39
2025-10-24 17:48:45,2686.92,2831.39,101.71,254.96,270.43,10.94
2025-10-25 10:25:14,3527.38,3706.6,118.32,840.46,875.21,16.61
2025-10-25 14:06:28,3827.77,4029.77,122.0,300.39,323.16,3.69
2025-10-25 22:20:55,160.69,403.16,130.24,428.92,469.39,8.24
2025-10-26 09:43:08,768.87,1026.62,142.61,608.17,623.46,11.37
2025-10-26 13:48:42,1038.66,1319.32,146.71,269.8,292.7,4.09
2025-10-26 19:18:53,1286.6,1584.43,152.21,247.94,265.1,5.5
2025-10-26 22:12:42,1403.66,1708.46,155.11,117.06,124.03,2.9
2025-10-27 07:53:14,1650.43,1963.56,164.78,246.77,255.1,9.68
2025-10-27 16:12:14,2207.89,2563.44,173.1,557.46,599.89,8.32
2025-10-27 20:44:34,2433.61,2797.24,177.64,225.72,233.79,4.54
2025-10-28 08:18:04,2645.75,3017.02,189.19,212.14,219.78,11.56
